id,username,hashed_password,full_name,role,department_id,title,phone
1,admin,$pbkdf2-sha256$29000$GSOEEOK8VwohpPReS2ltDQ$xQiUVgtIVnFym3zlqE6gmla7cLJbFakCHKTW8NXPbGM,Administrator,ADMIN,,,
3,doctor1,$pbkdf2-sha256$29000$ca41xpiz9v4fw7j3fq9Vqg$xSin5o.D4/lJbHW7Zsg8pFkGVJriQo.49u4325krvyc,张医生,DOCTOR,3,主治医师,
5,doctor3,$pbkdf2-sha256$29000$vhci5Fyrde5dy1krpXQOgQ$czgu20JK4FpPYaqa5VyU06J4QIVECZCOQnA8agFttOo,王医生,DOCTOR,4,主治医师,
7,doctor6,$pbkdf2-sha256$29000$zXkvpTSG8J7z3ru39r63Ng$Gu.5U1syX3ydPOjyn5HJv08VribsQF/IwQXPoG8SNoo,徐明2,DOCTOR,3,住院医师,13825723807
8,doctor7,$pbkdf2-sha256$29000$4HxvDQEAAKC09j6n9H5vrQ$8Sca66Pm47gagpXXbL6VGLSnNLldAWMfxPzFZCUIWPQ,徐秀英3,DOCTOR,1,副主任医师,13831723890
9,doctor8,$pbkdf2-sha256$29000$ijGm1Bpj7J3T.v9/r/X.Xw$/dA4nC3unK0DyvrKHiH3nb9SuKkHzjfkQEadnmAKfF4,朱飞4,DOCTOR,1,住院医师,13855974708
10,doctor9,$pbkdf2-sha256$29000$6D3HeI/RmjMmZAzhvNfamw$zO7oVd6srjpun/L6CT8TujnFaGK57y17YeVDMGz6n54,赵玲5,DOCTOR,3,副主任医师,13835329012
11,doctor10,$pbkdf2-sha256$29000$U2rt/b83JqR07p0zhrA2Rg$0G8r1JklMfUwqVKYoKocZZ74aUu3bMPIw8quHYZMsE4,周鹏6,DOCTOR,5,副主任医师,13834228686
12,doctor11,$pbkdf2-sha256$29000$hdCaE.Icg7DW2tsb49xbyw$GqekVuWo7oDapCpm8.xfQU4uMdZ7vq0LP7m4gvEDm3k,谢辉7,DOCTOR,4,副主任医师,13839052803
13,doctor12,$pbkdf2-sha256$29000$ew8B4DwH4Px/jxHiHCNEKA$mPdb1CMfX9xcCIW7a.BCOAskckrwP8o6ZGilvOuBuYc,周敏8,DOCTOR,1,主任医师,13835357025
14,doctor13,$pbkdf2-sha256$29000$xHjP.Z9TKiVkDEEIofSe8w$R9Lk72S50/4MODa43c0Uv5BdLiQsTq.3uj2rVvMHVgc,韩明9,DOCTOR,1,主任医师,13835269950
15,doctor14,$pbkdf2-sha256$29000$FwJgzNn7X0up1fqfkxICoA$e1yAQpuvkJ.hM8TCZMKhSB9YB0sQ265YZeOao30OcuE,罗伟10,DOCTOR,5,副主任医师,13829448697
16,doctor15,$pbkdf2-sha256$29000$iXHuvVdKqXWu1Zpz7l3rnQ$cSwRGPjf.21TFreaKGNBMvM5GcogPpYfUjlmksV/5oQ,郭力11,DOCTOR,3,副主任医师,13846763709
17,doctor16,$pbkdf2-sha256$29000$lXKO8X7P2dubU.pdK8XYGw$WQeEaCptUby3wayhVm1ojIXkzYFo.lwSh6.fh.GD7pk,陈杰12,DOCTOR,2,主任医师,13856262196
18,doctor17,$pbkdf2-sha256$29000$2psTotSaE2LMuZcyhrB2Tg$i17BsnELbut0roeislFzIC9xYeIiBtTnHddWHHnLYOw,周娜13,DOCTOR,4,主治医师,13893661009
